topico,pais,seed,volume,prompts,eh_categoria,familia,estagio,categoria,marcas,marcas_nucleo,eh_branded,trend,int_informational,int_commercial,int_transactional,int_navigational,int_task
Airfryer: uso e cura,br,air_fryers,15827,56,1,produto e categoria,exploracao de categoria,air fryer,,,0,52;36;39;49;92;93;93;100;99;99;100;99,0.83,0.1,0.02,0.05,0
Airfryers sem ferrugem no Brasil,br,air_fryers,2236,23,1,produto e categoria,exploracao de categoria,air fryer,,,0,32;34;44;91;95;96;100;100;100;99;99;99,0.68,0.17,0.08,0.05,0.02
Airfryer Philco Brasil,br,air_fryers,1487,21,1,produto e categoria,exploracao de categoria,air fryer,philco,,1,87;100;100;97;45;49;49;47;51;51;83;83,0.48,0.28,0.08,0.14,0.02
Forno Samsung e Air Fryer,br,air_fryers,1585,18,1,produto e categoria,exploracao de categoria,coccao,samsung,samsung,1,5;49;55;35;38;20;24;65;42;100;74;77,0.5,0.23,0.06,0.15,0.06
Idlers Appliances,br,air_fryers,98,17,0,produto e categoria,descoberta,sem categoria,,,0,7;99;100;40;19;28;30;82;46;12;13;12,0.43,0.11,0.14,0.25,0.07
Kits de Liquidificador com Airfryer,br,air_fryers,450,17,1,produto e categoria,escolha,air fryer,,,0,33;64;74;41;60;62;76;100;55;66;58;59,0.29,0.51,0.14,0.01,0.05
Fritadeiras Elétricas 220V,br,air_fryers,458,19,1,especificacao de produto,escolha,air fryer,,,0,100;65;77;64;70;76;71;46;49;50;56;62,0.33,0.47,0.15,0.03,0.02
Electric Ovens and Stoves,br,air_fryers,443,18,0,produto e categoria,exploracao de categoria,sem categoria,,,0,55;81;84;88;94;98;100;99;90;91;98;100,0.5,0.3,0.09,0.01,0.1
Pizza na Air Fryer,br,air_fryers,9401,40,1,produto e categoria,exploracao de categoria,air fryer,,,0,22;25;40;52;55;56;57;85;100;100;100;100,0.81,0.11,0.02,0.04,0.02
Airfryer Xiaomi Brasil,br,air_fryers,778,19,1,produto e categoria,exploracao de categoria,air fryer,,,0,84;97;97;93;87;95;100;54;72;72;73;76,0.34,0.18,0.24,0.22,0.02
Móveis e suportes para air fryer,br,air_fryers,431,16,1,garantia e suporte,posse,air fryer,,,0,77;97;100;96;99;94;92;84;83;74;75;88,0.63,0.23,0.1,0.02,0.02
Gas Grills,br,air_fryers,187,16,0,produto e categoria,escolha,sem categoria,,,0,35;52;53;50;49;52;45;100;100;57;55;48,0.35,0.34,0.12,0.16,0.03
Airfryer Electrolux EAF 3 2L,br,air_fryers,1749,21,1,produto e categoria,exploracao de categoria,air fryer,electrolux,electrolux,1,12;30;31;29;30;14;14;100;27;28;46;51,0.5,0.16,0.16,0.11,0.07
Pipoca na Airfryer,br,air_fryers,22018,49,1,produto e categoria,exploracao de categoria,air fryer,,,0,30;32;30;65;48;48;48;100;99;99;99;99,0.78,0.02,0.08,0.02,0.1
Consumo de Energia da Air Fryer,br,air_fryers,13050,46,1,consumo e energia,posse,air fryer,,,0,92;99;95;94;94;95;95;99;100;100;100;100,0.83,0.07,0.01,0.05,0.04
amendoim na airfryer,br,air_fryers,7981,32,1,produto e categoria,exploracao de categoria,air fryer,,,0,54;65;68;73;78;79;79;99;100;100;100;100,0.78,0.1,0.05,0.05,0.02
Air fryers: Bella Cucina Britânia,br,air_fryers,4563,25,1,produto e categoria,exploracao de categoria,air fryer,britania,,1,22;28;27;36;95;96;96;97;100;100;100;100,0.46,0.16,0.2,0.16,0.02
Frigideiras Elétricas,br,air_fryers,1528,17,0,produto e categoria,escolha,sem categoria,,,0,84;99;100;99;90;90;90;94;48;47;46;46,0.46,0.35,0.13,0.04,0.02
Legumes na Airfryer,br,air_fryers,3327,26,1,produto e categoria,exploracao de categoria,air fryer,,,0,84;99;100;96;44;47;48;69;62;62;63;62,0.78,0.02,0,0.03,0.17
Forno elétrico e air fryer Walita/Philips,br,air_fryers,1191,20,1,produto e categoria,exploracao de categoria,coccao,,,0,54;72;89;64;62;63;67;62;75;83;100;82,0.55,0.28,0.09,0.06,0.02
Hair Dryers & Styling Tools,br,air_fryers,1655,19,0,produto e categoria,escolha,sem categoria,,,0,30;35;35;65;73;71;78;100;61;61;75;78,0.33,0.48,0.14,0.03,0.02
Fry Cooking Terms,br,air_fryers,369,16,0,produto e categoria,exploracao de categoria,sem categoria,,,0,100;46;47;46;46;48;49;50;51;58;57;56,0.8,0.05,0.05,0.05,0.05
Protetores e Tapetes para Air Fryer,br,air_fryers,1438,21,1,produto e categoria,exploracao de categoria,air fryer,,,0,47;54;54;45;63;65;67;100;79;72;76;76,0.64,0.21,0.07,0.05,0.03
Air Fryers Britânia 6L,br,air_fryers,105,15,1,produto e categoria,exploracao de categoria,air fryer,britania,,1,60;66;77;74;67;65;58;92;100;82;72;65,0.46,0.18,0.15,0.18,0.03
Pudim na Airfryer,br,air_fryers,12605,33,1,produto e categoria,exploracao de categoria,air fryer,,,0,91;97;100;51;86;87;87;69;75;75;75;75,0.79,0.08,0.02,0.06,0.05
