topico,pais,seed,volume,prompts,eh_categoria,familia,estagio,categoria,marcas,marcas_nucleo,eh_branded,trend,int_informational,int_commercial,int_transactional,int_navigational,int_task
Freezers 205 litros Midea,br,freezer,522,16,1,especificacao de produto,escolha,freezer,midea,midea,1,66;86;86;78;80;79;66;83;70;100;90;96,0.33,0.34,0.13,0.17,0.03
Freezers verticais Electrolux 162 L,br,freezer,766,21,1,produto e categoria,exploracao de categoria,freezer,electrolux,electrolux,1,43;52;55;53;65;60;54;99;100;86;84;93,0.41,0.16,0.26,0.15,0.02
Refrigeração Laboratorial,br,freezer,254,16,0,produto e categoria,exploracao de categoria,sem categoria,,,0,82;83;88;89;92;100;98;90;82;82;87;86,0.6,0.28,0.06,0.04,0.02
Freezers e Geladeiras Verticais com Porta de Vidro,br,freezer,1628,20,1,produto e categoria,exploracao de categoria,geladeira,,,0,85;99;100;97;95;98;100;55;52;52;52;51,0.6,0.22,0.12,0.04,0.02
Freezers Inox Verticais Frost Free,br,freezer,2996,23,1,especificacao de produto,escolha,freezer,,,0,85;99;100;51;43;46;47;51;52;52;55;54,0.32,0.37,0.17,0.09,0.05
Geladeiras Comerciais,br,freezer,79,15,1,produto e categoria,exploracao de categoria,geladeira,,,0,44;45;54;48;42;43;100;52;51;44;44;44,0.51,0.32,0.12,0.04,0.01
Freezers de 199 litros,br,freezer,1180,15,1,especificacao de produto,escolha,freezer,,,0,13;22;23;20;19;19;17;63;51;37;46;100,0.49,0.36,0.04,0.08,0.03
Container Store & Home Organization,br,freezer,397,17,0,produto e categoria,descoberta,sem categoria,,,0,41;46;49;81;78;47;51;75;100;72;68;98,0.27,0.14,0.17,0.35,0.07
Ice packs and ice bags,br,freezer,1590,18,0,produto e categoria,exploracao de categoria,sem categoria,,,0,17;20;24;24;52;50;47;47;47;58;98;100,0.72,0.15,0.08,0.03,0.02
Freezers verticais Consul,br,freezer,5560,35,1,produto e categoria,exploracao de categoria,freezer,consul,consul,1,77;91;100;99;83;84;85;88;92;93;92;92,0.55,0.14,0.09,0.19,0.03
Fechaduras e Travas para Freezer,br,freezer,367,16,1,produto e categoria,exploracao de categoria,freezer,,,0,16;37;39;38;38;41;42;100;80;46;42;45,0.55,0.3,0.04,0.01,0.1
Geladeira Organizada,br,freezer,3936,23,1,produto e categoria,exploracao de categoria,geladeira,,,0,89;100;100;86;63;65;65;62;81;81;83;82,0.74,0.11,0.08,0.05,0.02
Geladeiras e Refrigeradores Frost Free e Inox,br,freezer,715796,828,1,especificacao de produto,escolha,geladeira,,,0,27;27;29;35;100;100;100;48;46;46;46;46,0.43,0.37,0.12,0.06,0.02
Geladeiras e Freezers EOS Ecogelo,br,freezer,740,16,1,produto e categoria,exploracao de categoria,geladeira,,,0,39;58;59;78;95;97;92;100;100;100;98;97,0.57,0.14,0.08,0.15,0.06
Armazenagem frigorífica e serviços de frio,br,freezer,216,15,0,produto e categoria,escolha,sem categoria,,,0,81;97;100;96;96;100;100;96;99;98;99;98,0.44,0.41,0.08,0.04,0.03
Freezers que não gelam,br,freezer,660,20,1,defeito e problema,posse,freezer,,,0,46;19;41;41;43;44;44;44;93;93;100;100,0.76,0.07,0.05,0.08,0.04
Garrafa Frozen,br,freezer,401,16,0,produto e categoria,escolha,sem categoria,,,0,31;60;57;64;64;67;72;37;38;72;100;85,0.34,0.31,0.17,0.11,0.07
Freezers horizontais 100L,br,freezer,1561,15,1,produto e categoria,escolha,freezer,,,0,34;49;52;46;44;46;48;50;56;100;72;76,0.31,0.46,0.15,0.05,0.03
Refrigeração Comercial Imbera,br,freezer,2131,18,0,produto e categoria,exploracao de categoria,sem categoria,,,0,85;99;100;53;49;53;54;53;52;51;52;51,0.36,0.32,0.08,0.22,0.02
Geladeiras para Chopp,br,freezer,701,17,1,produto e categoria,escolha,geladeira,,,0,22;83;91;73;73;71;54;66;52;75;74;100,0.38,0.38,0.17,0.04,0.03
Capas para Freezer,br,freezer,490,15,1,produto e categoria,escolha,freezer,,,0,34;50;54;49;48;64;52;85;73;97;91;100,0.46,0.29,0.17,0.05,0.03
Cold Chain Logistics,br,freezer,1713,17,0,produto e categoria,exploracao de categoria,sem categoria,,,0,37;43;45;44;34;34;34;36;36;40;39;100,0.72,0.15,0.08,0.03,0.02
Vitrines Refrigeradas Gelopar,br,freezer,98,15,1,produto e categoria,descoberta,geladeira,,,0,31;34;38;34;34;100;69;35;35;35;35;35,0.38,0.2,0.13,0.25,0.04
Frigelar Bebedouros,br,freezer,103,15,0,produto e categoria,descoberta,sem categoria,,,0,17;63;83;31;48;55;86;80;77;100;80;70,0.31,0.18,0.22,0.26,0.03
Freezers de 295 litros,br,freezer,384,16,1,especificacao de produto,escolha,freezer,,,0,41;51;63;50;47;49;100;30;30;73;85;98,0.45,0.4,0.11,0.01,0.03
Refrigerantes Gelados,br,freezer,387,18,0,produto e categoria,exploracao de categoria,sem categoria,,,0,96;100;98;59;59;66;65;70;65;71;79;70,0.7,0.08,0.1,0.07,0.05
Sacos e embalagens para freezer,br,freezer,233,15,1,produto e categoria,exploracao de categoria,freezer,,,0,51;100;97;91;79;84;92;78;77;65;65;65,0.57,0.25,0.07,0.04,0.07
Containers Refrigerados,br,freezer,6143,25,1,produto e categoria,exploracao de categoria,geladeira,,,0,20;20;20;48;81;81;82;92;100;100;100;100,0.6,0.22,0.06,0.04,0.08
Freezers 220V Consul 220L,br,freezer,3119,18,1,especificacao de produto,escolha,freezer,consul,consul,1,15;23;25;22;21;20;27;50;69;84;100;93,0.36,0.39,0.15,0.07,0.03
Stanley Coolers,br,freezer,1073,15,0,produto e categoria,exploracao de categoria,sem categoria,,,0,65;98;100;97;90;98;98;93;98;95;95;96,0.37,0.15,0.23,0.18,0.07
Borrachas para Freezer,br,freezer,2309,26,1,peca e filtro,posse,freezer,,,0,36;19;20;53;68;71;71;83;97;100;100;100,0.43,0.28,0.17,0.1,0.02
Gelopar Refrigeração e Expositores,br,freezer,4341,16,0,produto e categoria,descoberta,sem categoria,,,0,76;93;95;93;90;92;93;100;99;99;98;97,0.28,0.1,0.19,0.38,0.05
Geladeiras para skincare e cosméticos,br,freezer,2047,17,1,produto e categoria,escolha,geladeira,,,0,63;91;94;91;88;96;99;89;100;99;100;99,0.46,0.31,0.15,0.05,0.03
Ilhas de congelados e freezers (3 metros),br,freezer,610,16,1,produto e categoria,exploracao de categoria,freezer,,,0,40;49;52;53;55;55;54;45;46;100;92;96,0.32,0.31,0.12,0.18,0.07
Freezers 145 litros Midea,br,freezer,568,16,1,especificacao de produto,escolha,freezer,midea,midea,1,91;99;100;66;65;73;79;86;80;82;77;79,0.48,0.32,0.06,0.12,0.02
Ice Melt Essentials,br,freezer,10791,19,0,produto e categoria,exploracao de categoria,sem categoria,,,0,9;13;13;13;42;43;42;93;100;100;100;100,0.6,0.25,0.04,0.03,0.08
Geladeiras e Freezers usados no Brasil,br,freezer,5463,27,1,produto e categoria,exploracao de categoria,geladeira,,,0,56;72;76;88;90;91;91;100;100;99;99;98,0.44,0.2,0.2,0.14,0.02
Geladeiras Frost Free,br,freezer,1150,19,1,especificacao de produto,escolha,geladeira,,,0,26;66;74;53;66;43;41;90;100;45;43;100,0.53,0.35,0.01,0.03,0.08
Freezers CVU30 de 246 litros,br,freezer,988,16,1,especificacao de produto,escolha,freezer,,,0,5;23;33;27;28;18;14;72;81;100;74;89,0.66,0.19,0.04,0.04,0.07
Receitas para Congelar,br,freezer,4272,36,0,uso e receita,posse,sem categoria,,,0,54;59;60;78;74;75;76;92;100;100;100;100,0.58,0.13,0.02,0.05,0.22
Frigobar: Preços e Promoções,br,freezer,70598,75,1,preco e compra,escolha,geladeira,,,0,60;61;65;86;100;100;100;97;95;95;95;95,0.5,0.34,0.14,0.02,0
Geladeiras Brastemp com gelo,br,freezer,3933,20,1,produto e categoria,exploracao de categoria,geladeira,brastemp,brastemp,1,36;40;29;39;88;89;89;40;80;79;94;100,0.62,0.28,0.06,0.02,0.02
Porta Frios e Organização de Geladeira,br,freezer,1276,17,1,produto e categoria,exploracao de categoria,geladeira,,,0,64;88;91;88;87;95;99;96;99;100;98;97,0.57,0.22,0.07,0.07,0.07
Câmaras frias portáteis,br,freezer,260,15,0,produto e categoria,escolha,sem categoria,,,0,79;100;98;96;91;95;92;77;77;77;77;77,0.42,0.37,0.11,0.07,0.03
Organizadores de Geladeira,br,freezer,5025,19,1,produto e categoria,exploracao de categoria,geladeira,,,0,76;94;100;98;91;92;92;100;99;99;100;99,0.52,0.3,0.09,0.04,0.05
Freezers Consul 309 litros,br,freezer,662,17,1,especificacao de produto,escolha,freezer,consul,consul,1,36;53;58;54;51;50;55;77;89;100;62;69,0.46,0.33,0.13,0.05,0.03
Freezers verticais de dupla função,br,freezer,528,17,1,produto e categoria,exploracao de categoria,freezer,,,0,35;45;47;42;62;72;67;72;85;94;100;97,0.52,0.36,0.01,0.04,0.07
Alimentos Congelados,br,freezer,2471,19,0,produto e categoria,exploracao de categoria,sem categoria,,,0,42;60;68;77;75;71;67;88;100;98;90;92,0.57,0.32,0.06,0.04,0.01
Refrigeradores e freezers de 300 litros,br,freezer,2082,22,1,especificacao de produto,escolha,geladeira,,,0,83;99;100;96;93;96;98;94;52;55;53;51,0.5,0.27,0.17,0.04,0.02
Rodas para Freezer,br,freezer,359,15,1,produto e categoria,escolha,freezer,,,0,32;35;37;36;36;38;38;59;53;93;86;100,0.27,0.4,0.21,0.02,0.1
Freezer Electrolux HE150 143 L,br,freezer,1306,15,1,produto e categoria,exploracao de categoria,freezer,electrolux,electrolux,1,5;30;35;27;33;38;37;34;25;29;38;100,0.59,0.19,0.1,0.05,0.07
Geladeiras para Açougues,br,freezer,85,16,1,produto e categoria,escolha,geladeira,,,0,28;30;33;34;28;28;100;26;26;26;26;26,0.32,0.5,0.12,0.01,0.05
Storage Boxes and Containers,br,freezer,2568,22,0,produto e categoria,escolha,sem categoria,,,0,85;100;100;55;69;72;77;89;94;96;95;93,0.48,0.33,0.12,0.02,0.05
Freezers verticais frost free 121 litros,br,freezer,221,15,1,especificacao de produto,escolha,freezer,,,0,14;70;100;81;41;24;20;75;55;48;47;54,0.48,0.3,0.1,0.05,0.07
Freezers Verticais 300L,br,freezer,397,16,1,produto e categoria,exploracao de categoria,freezer,,,0,30;51;60;46;42;48;57;100;56;37;37;35,0.62,0.2,0.03,0.1,0.05
Ice Pack Marketplace,br,freezer,1362,20,0,produto e categoria,exploracao de categoria,sem categoria,,,0,58;71;73;45;46;49;46;97;47;47;98;100,0.39,0.18,0.23,0.15,0.05
Freezers Metalfrio bivolt (543/546 litros),br,freezer,468,18,1,especificacao de produto,escolha,freezer,,,0,20;37;48;43;51;57;41;100;75;84;73;42,0.56,0.23,0.1,0.09,0.02
English Freeze Terms,br,freezer,11828,19,0,produto e categoria,exploracao de categoria,sem categoria,,,0,16;20;20;59;15;16;16;64;100;100;100;100,0.8,0.08,0.02,0.05,0.05
Congelamento incorreto em geladeiras,br,freezer,9237,45,1,produto e categoria,exploracao de categoria,geladeira,,,0,91;91;95;96;97;98;98;100;99;100;100;100,0.75,0.15,0,0.02,0.08
Freezers verticais 231 L,br,freezer,503,16,1,produto e categoria,exploracao de categoria,freezer,,,0,14;83;97;74;71;46;38;97;95;100;36;51,0.54,0.28,0.14,0.04,0
Scroll Compressors & Refrigeration,br,freezer,3248,19,0,peca e filtro,posse,sem categoria,,,0,29;31;37;35;99;100;100;64;86;86;89;89,0.59,0.13,0.21,0.05,0.02
Freezers Electrolux H500,br,freezer,693,17,1,produto e categoria,exploracao de categoria,freezer,electrolux,electrolux,1,35;36;37;47;46;55;100;90;77;86;79;88,0.45,0.33,0.06,0.14,0.02
Geladeiras e Eletrodomésticos no Ponto Frio,br,freezer,3197,17,1,produto e categoria,descoberta,geladeira,,,0,72;96;100;96;84;88;89;90;92;87;90;89,0.11,0.05,0.15,0.66,0.03
Freezers Verticais 197 Litros,br,freezer,1440,18,1,especificacao de produto,escolha,freezer,,,0,24;73;65;54;47;20;31;100;34;40;74;74,0.6,0.2,0.1,0.05,0.05
Geladeiras para restaurantes e lanchonetes,br,freezer,167,16,1,produto e categoria,exploracao de categoria,geladeira,,,0,39;61;65;56;43;44;41;70;60;100;82;87,0.53,0.32,0.08,0.04,0.03
Frigoríficos Zimmer,br,freezer,1293,16,0,produto e categoria,descoberta,sem categoria,,,0,21;27;75;68;54;60;73;100;87;78;79;78,0.55,0.04,0.02,0.39,0
Frutas Congeladas,br,freezer,357,15,0,produto e categoria,exploracao de categoria,sem categoria,,,0,45;57;56;52;52;57;55;100;57;67;57;79,0.61,0.2,0.08,0.08,0.03
Freezers horizontais de duas portas,br,freezer,3986,17,1,produto e categoria,exploracao de categoria,freezer,,,0,93;98;100;46;46;47;47;40;41;41;42;42,0.55,0.34,0.05,0.02,0.04
Balcões Refrigerados Polar,br,freezer,343,15,1,produto e categoria,descoberta,geladeira,,,0,20;21;22;19;18;18;18;19;19;100;87;92,0.32,0.26,0.04,0.35,0.03
Carrocerias frigoríficas,br,freezer,51,15,0,produto e categoria,exploracao de categoria,sem categoria,,,0,52;88;100;75;75;60;60;65;65;65;65;65,0.46,0.27,0.06,0.14,0.07
Expositores Refrigerados Usados,br,freezer,1060,16,1,produto e categoria,escolha,geladeira,,,0,83;99;100;100;68;73;73;55;49;49;49;49,0.41,0.34,0.14,0.06,0.05
Freezers Electrolux 314 L (H330),br,freezer,636,18,1,produto e categoria,exploracao de categoria,freezer,electrolux,electrolux,1,27;32;30;32;34;36;36;100;71;68;54;57,0.43,0.22,0.08,0.24,0.03
Freezers Electrolux de 200 L,br,freezer,435,18,1,produto e categoria,exploracao de categoria,freezer,electrolux,electrolux,1,95;62;66;100;55;55;53;73;80;99;84;96,0.57,0.2,0.11,0.1,0.02
Freezers Electrolux FE18/FE22,br,freezer,1492,23,1,produto e categoria,exploracao de categoria,freezer,electrolux,electrolux,1,32;39;43;38;37;37;38;50;61;100;72;72,0.67,0.11,0.1,0.1,0.02
Salgados Congelados,br,freezer,6610,45,0,produto e categoria,exploracao de categoria,sem categoria,,,0,65;65;57;62;76;77;76;100;99;98;98;98,0.68,0.1,0.09,0.08,0.05
Gelo e Conservação de Gelo,br,freezer,8765,45,0,manutencao e limpeza,posse,sem categoria,,,0,52;56;64;83;81;81;81;94;100;100;100;100,0.82,0.06,0.02,0.05,0.05
Geladeiras e Freezers Brastemp 400L,br,freezer,8915,45,1,produto e categoria,escolha,geladeira,brastemp,brastemp,1,97;100;48;49;49;50;51;50;52;53;52;52,0.38,0.28,0.18,0.14,0.02
Refrigeradores e freezers 450 litros,br,freezer,417,15,1,especificacao de produto,escolha,geladeira,,,0,3;27;42;31;23;25;16;100;38;32;31;43,0.49,0.4,0.08,0,0.03
Extra Space Storage Solutions,br,freezer,847,18,0,produto e categoria,descoberta,sem categoria,,,0,49;79;80;80;85;91;92;95;100;100;100;99,0.36,0.17,0.09,0.37,0.01
Deep Freeze software,br,freezer,6570,25,0,produto e categoria,exploracao de categoria,sem categoria,,,0,87;87;87;85;63;64;64;100;98;99;99;97,0.59,0.11,0.08,0.2,0.02
Prateleiras para Câmara Fria,br,freezer,228,15,0,peca e filtro,posse,sem categoria,,,0,46;57;60;70;73;63;65;55;56;100;87;91,0.42,0.36,0.04,0.11,0.07
Geladeiras e Freezers na Americanas,br,freezer,1182,16,1,produto e categoria,descoberta,geladeira,,,0,69;96;98;94;90;96;97;94;90;90;90;100,0.2,0.11,0.26,0.4,0.03
Melhores Frigobares,br,freezer,1363,24,1,comparacao e modelo,escolha,geladeira,,,0,26;30;30;69;84;84;94;100;85;82;81;81,0.22,0.58,0.1,0.02,0.08
Veículos refrigerados à venda,br,freezer,242,16,1,produto e categoria,escolha,geladeira,,,0,60;96;100;94;50;48;51;48;49;51;50;49,0.39,0.21,0.3,0.02,0.08
Câmaras Frias e Refrigeração Comercial,br,freezer,29860,89,0,produto e categoria,exploracao de categoria,sem categoria,,,0,49;52;57;75;83;84;84;100;100;99;99;99,0.59,0.28,0.06,0.04,0.03
IQF Frozen Produce,br,freezer,770,17,0,produto e categoria,exploracao de categoria,sem categoria,,,0,100;100;93;93;93;93;93;93;87;87;87;87,0.74,0.1,0.05,0.05,0.06
Temperatura da Geladeira,br,freezer,21710,80,1,produto e categoria,exploracao de categoria,geladeira,,,0,94;97;100;99;92;92;92;94;94;94;94;94,0.79,0.05,0.06,0.05,0.05
Geladeiras Gazin,br,freezer,820,15,1,produto e categoria,exploracao de categoria,geladeira,,,0,33;44;50;43;40;39;41;100;63;64;37;39,0.41,0.18,0.18,0.19,0.04
Geladeiras e freezers Coca‑Cola,br,freezer,6694,30,1,produto e categoria,exploracao de categoria,geladeira,,,0,36;47;48;64;68;71;72;100;94;94;94;93,0.56,0.26,0.08,0.05,0.05
Câmaras frias para bares e cervejas,br,freezer,1078,23,0,produto e categoria,exploracao de categoria,sem categoria,,,0,73;40;40;84;96;99;100;60;55;55;54;54,0.49,0.26,0.08,0.12,0.05
geladeiras Zema,br,freezer,795,15,1,produto e categoria,descoberta,geladeira,,,0,19;29;31;28;41;37;32;100;41;43;30;35,0.11,0.17,0.22,0.49,0.01
"Conjunto Geladeira e Freezer: Tipos, Configurações e Escolhas",br,freezer,1417,17,1,produto e categoria,exploracao de categoria,geladeira,,,0,22;63;68;49;49;32;30;83;49;53;79;100,0.66,0.24,0.04,0.04,0.02
Geladeiras Continental,br,freezer,572,17,1,produto e categoria,descoberta,geladeira,continental,,1,24;63;67;25;23;29;24;100;66;59;59;59,0.5,0.17,0.03,0.3,0
Chopp e Cooler,br,freezer,43,16,0,produto e categoria,exploracao de categoria,sem categoria,,,0,50;52;60;55;96;60;58;91;100;60;57;51,0.57,0.25,0,0.11,0.07
Geladeiras Brastemp Frost Free,br,freezer,4034,24,1,especificacao de produto,escolha,geladeira,brastemp,brastemp,1,84;99;100;56;52;55;55;90;92;93;93;92,0.51,0.29,0.11,0.07,0.02
Comfrio Logística e Refrigeração,br,freezer,5691,23,0,produto e categoria,exploracao de categoria,sem categoria,,,0,61;72;81;100;98;100;100;97;92;92;94;94,0.54,0.19,0.08,0.17,0.02
Geladeiras que congelam na parte de baixo,br,freezer,1288,18,1,produto e categoria,exploracao de categoria,geladeira,,,0,73;94;94;83;73;72;71;77;70;74;92;100,0.64,0.15,0.11,0.02,0.08
Geladeiras Frost Free Brasil,br,freezer,422,16,1,especificacao de produto,escolha,geladeira,,,0,34;91;87;71;67;48;43;100;34;34;28;34,0.39,0.31,0.16,0.12,0.02
Geladeiras Expositoras de Bebidas,br,freezer,1610,19,1,produto e categoria,escolha,geladeira,,,0,85;99;100;64;57;60;61;55;47;50;47;46,0.49,0.37,0.08,0.01,0.05
Congelamento de Frutas,br,freezer,9792,59,0,produto e categoria,exploracao de categoria,sem categoria,,,0,91;92;92;94;94;95;95;97;100;100;100;100,0.8,0.05,0.02,0.05,0.08
Water Cooler Mancer PC Coolers,br,freezer,492,15,0,produto e categoria,escolha,sem categoria,,,0,14;23;21;20;20;21;21;31;100;61;57;20,0.49,0.27,0.18,0.05,0.01
Freezers verticais Frost Free 234 litros,br,freezer,380,17,1,especificacao de produto,escolha,freezer,,,0,17;33;57;41;49;46;34;100;84;95;37;46,0.39,0.31,0.17,0.06,0.07
Geladeiras side by side,br,freezer,64112,74,1,especificacao de produto,escolha,geladeira,,,0,76;76;35;64;100;100;100;98;94;94;94;94,0.53,0.3,0.13,0.02,0.02
Geladeiras para Caminhão,br,freezer,5844,30,1,produto e categoria,escolha,geladeira,,,0,90;97;100;100;45;46;46;47;44;43;43;43,0.32,0.48,0.13,0.04,0.03
Sealed Air & Cryovac Packaging,br,freezer,1950,25,0,produto e categoria,exploracao de categoria,sem categoria,,,0,69;79;57;59;93;100;100;72;73;73;73;73,0.65,0.08,0.05,0.2,0.02
Emergent Cold Logistics,br,freezer,248,16,0,produto e categoria,descoberta,sem categoria,,,0,56;100;79;78;80;83;83;95;98;97;98;97,0.47,0.07,0.04,0.4,0.02
Freezers Imbera 560 litros,br,freezer,1334,16,1,especificacao de produto,escolha,freezer,,,0,12;31;37;26;22;16;24;47;62;77;93;100,0.41,0.25,0.13,0.18,0.03
Máquinas de Sorvete Fort Frio,br,freezer,123,15,0,produto e categoria,exploracao de categoria,sem categoria,,,0,70;85;92;79;79;81;82;100;94;92;88;75,0.42,0.26,0.08,0.21,0.03
Coolers Retrô e Vintage,br,freezer,384,17,0,produto e categoria,escolha,sem categoria,,,0,40;95;100;55;72;71;71;83;81;93;85;59,0.4,0.33,0.16,0.04,0.07
Geladeiras para cerveja,br,freezer,319,18,1,produto e categoria,exploracao de categoria,geladeira,,,0,73;83;85;82;98;81;100;56;56;60;61;59,0.49,0.36,0.08,0.05,0.02
Peltier Thermoelectric Coolers,br,freezer,4424,22,0,produto e categoria,exploracao de categoria,sem categoria,,,0,28;30;30;62;99;100;100;94;85;85;85;85,0.57,0.18,0.18,0.05,0.02
Balcões Refrigerados e Expositores,br,freezer,4808,15,1,produto e categoria,exploracao de categoria,geladeira,,,0,78;94;100;100;92;94;96;94;96;96;96;95,0.55,0.3,0.12,0.01,0.02
Vitrines e estufas para confeitaria,br,freezer,1444,16,0,produto e categoria,exploracao de categoria,sem categoria,,,0,89;100;61;60;64;68;64;59;62;61;60;59,0.67,0.19,0.05,0.04,0.05
Frigobares no Varejo Online Brasil,br,freezer,164,15,1,produto e categoria,exploracao de categoria,geladeira,,,0,8;77;100;59;52;66;57;93;70;28;37;35,0.38,0.18,0.22,0.19,0.03
Máquinas de gelo portáteis,br,freezer,574,17,0,produto e categoria,exploracao de categoria,sem categoria,,,0,41;59;62;57;48;51;60;100;82;86;100;100,0.45,0.31,0.1,0.04,0.1
Coolers Corona,br,freezer,790,15,0,produto e categoria,exploracao de categoria,sem categoria,,,0,68;98;100;96;85;90;92;78;80;81;82;82,0.46,0.32,0.11,0.04,0.07
Adesivos e envelopamento de freezers,br,freezer,2247,26,1,produto e categoria,exploracao de categoria,freezer,,,0,35;46;47;64;84;87;87;100;89;89;90;89,0.5,0.26,0.12,0.04,0.08
Frigobares usados no Brasil,br,freezer,3270,16,1,produto e categoria,exploracao de categoria,geladeira,,,0,65;90;87;87;86;91;92;100;94;94;92;91,0.46,0.21,0.23,0.08,0.02
Máquinas de gelo compactas,br,freezer,775,20,0,produto e categoria,escolha,sem categoria,,,0,71;77;78;82;86;88;88;87;92;100;85;84,0.45,0.35,0.11,0.04,0.05
Refrigeração Refricenter Brasil,br,freezer,343,15,0,produto e categoria,descoberta,sem categoria,,,0,41;72;75;100;58;71;69;72;70;79;81;81,0.12,0.1,0.05,0.7,0.03
Alimentos Congelados Brasileiros,br,freezer,1280,17,0,produto e categoria,exploracao de categoria,sem categoria,,,0,30;34;34;34;100;100;100;40;41;41;40;41,0.68,0.14,0.08,0.09,0.01
Potes para micro-ondas e freezer,br,freezer,1286,20,1,produto e categoria,exploracao de categoria,micro-ondas,,,0,65;31;30;28;38;40;45;84;90;96;99;100,0.54,0.32,0.1,0.02,0.02
Samsung Ice Makers,br,freezer,1402,16,0,produto e categoria,exploracao de categoria,sem categoria,samsung,samsung,1,16;34;33;26;27;25;24;63;80;100;39;61,0.63,0.1,0.13,0.12,0.02
Freezers Electrolux 513–550 litros,br,freezer,773,20,1,especificacao de produto,escolha,freezer,electrolux,electrolux,1,30;44;47;42;43;44;49;58;81;100;49;57,0.55,0.2,0.11,0.11,0.03
Maquinas de Gelo Impomac,br,freezer,235,17,0,produto e categoria,descoberta,sem categoria,,,0,57;95;100;88;73;75;62;54;55;55;55;55,0.44,0.07,0.14,0.33,0.02
Balcões Expositores Refrigerados,br,freezer,453,16,1,produto e categoria,exploracao de categoria,geladeira,,,0,72;88;87;80;93;100;84;89;97;81;80;79,0.51,0.28,0.1,0.06,0.05
Home Storage Racks,br,freezer,277,15,0,produto e categoria,exploracao de categoria,sem categoria,,,0,23;65;100;92;36;34;92;59;49;74;69;72,0.43,0.29,0.11,0.1,0.07
PC Cooling Solutions,br,freezer,4103,16,0,produto e categoria,escolha,sem categoria,,,0,24;28;30;31;77;79;79;98;97;98;99;100,0.41,0.39,0.1,0.02,0.08
Glacial Refrigeração e Peças,br,freezer,112,15,0,peca e filtro,posse,sem categoria,,,0,21;22;23;21;35;20;20;20;24;24;100;27,0.21,0.31,0.04,0.41,0.03
Geladeiras compactas para apartamento,br,freezer,1029,17,1,produto e categoria,exploracao de categoria,geladeira,,,0,22;86;92;88;91;94;93;79;100;70;69;72,0.63,0.21,0.08,0.05,0.03
Geladeiras Electrolux 240–260 litros,br,freezer,19852,72,1,especificacao de produto,escolha,geladeira,electrolux,electrolux,1,53;48;54;57;96;97;97;95;100;100;100;100,0.5,0.3,0.13,0.05,0.02
"Geladeiras, freezers e móveis na Lojas Cem",br,freezer,6076,27,1,marca e loja,descoberta,geladeira,,,0,20;25;25;35;60;61;61;87;89;90;94;100,0.32,0.14,0.19,0.33,0.02
Expositores e freezers de 2 portas,br,freezer,532,16,1,especificacao de produto,escolha,freezer,,,0,58;69;69;64;63;82;81;80;77;80;97;100,0.29,0.54,0.08,0.04,0.05
Geladeiras Dako,br,freezer,1821,20,1,produto e categoria,exploracao de categoria,geladeira,,,0,82;100;100;96;73;76;76;86;89;90;90;90,0.45,0.23,0.08,0.21,0.03
Refrigeradores e Freezers 600 litros,br,freezer,894,15,1,especificacao de produto,escolha,geladeira,,,0,12;59;100;66;49;37;33;94;46;39;56;84,0.45,0.33,0.06,0.11,0.05
Geladeiras Continental Frost Free,br,freezer,6346,36,1,especificacao de produto,escolha,geladeira,continental,,1,90;97;100;86;51;52;52;48;48;48;48;47,0.46,0.22,0.18,0.12,0.02
Freezers horizontais Hisense 198 L,br,freezer,175,15,1,produto e categoria,exploracao de categoria,freezer,hisense,hisense,1,8;84;98;55;55;59;63;34;69;100;33;33,0.57,0.18,0.13,0.02,0.1
Coldres de arma e acessórios,br,freezer,17843,23,0,produto e categoria,exploracao de categoria,sem categoria,,,0,17;23;24;96;29;30;30;100;100;100;100;100,0.6,0.16,0.08,0.08,0.08
Geladeiras Smeg,br,freezer,1443,17,1,produto e categoria,exploracao de categoria,geladeira,,,0,54;74;75;71;78;89;90;91;95;96;98;100,0.53,0.18,0.13,0.06,0.1
Geladeiras e freezers 230 litros,br,freezer,615,16,1,especificacao de produto,escolha,geladeira,,,0,8;22;28;16;26;36;14;100;82;52;44;42,0.49,0.29,0.15,0.04,0.03
Geladeiras Consul Inverse com Freezer embaixo,br,freezer,4031,26,1,produto e categoria,exploracao de categoria,geladeira,consul,consul,1,56;63;65;98;99;100;100;99;34;33;33;33,0.47,0.2,0.2,0.11,0.02
Máquinas de gelo,br,freezer,49986,85,0,produto e categoria,escolha,sem categoria,,,0,36;38;41;46;63;63;63;99;100;100;100;100,0.42,0.34,0.12,0.04,0.08
Freezers verticais usados no OLX,br,freezer,260,15,1,produto e categoria,descoberta,freezer,,,0,33;50;59;45;50;46;43;100;75;52;48;52,0.16,0.07,0.1,0.64,0.03
Budweiser Beer Coolers,br,freezer,64,15,0,produto e categoria,escolha,sem categoria,,,0,8;49;53;58;50;55;45;59;100;69;8;8,0.32,0.36,0.18,0.04,0.1
Mobília e Suportes para Frigobar,br,freezer,689,16,1,garantia e suporte,posse,geladeira,,,0,47;76;77;82;88;98;100;88;89;77;76;82,0.33,0.37,0.19,0.04,0.07
Móveis para frigobar,br,freezer,1538,16,1,produto e categoria,exploracao de categoria,geladeira,,,0,67;99;100;96;83;88;90;81;81;81;88;87,0.53,0.29,0.11,0.04,0.03
Coldres e Sabres,br,freezer,217,15,0,produto e categoria,exploracao de categoria,sem categoria,,,0,76;85;87;78;83;82;83;98;100;90;91;89,0.47,0.14,0.2,0.12,0.07
