name,prompts_count,volume,volume_trend,intents
Copos para Mixer,18,2184,57;84;86;82;86;92;93;99;100;100;100;99,task:3;informational:54;navigational:4;commercial:28;transactional:11
Batedeiras Inox,15,386,33;49;54;47;47;48;50;100;78;79;45;47,task:7;informational:43;navigational:4;commercial:32;transactional:14
Post Mix de Cerveja e Refrigerante,19,1146,54;58;58;58;96;100;100;79;80;83;85;83,task:7;informational:62;navigational:8;commercial:15;transactional:8
Mixer Philco 3 em 1,22,2780,83;99;100;96;90;92;93;53;56;69;60;60,task:2;informational:41;navigational:11;commercial:16;transactional:30
Maquinas de Chapisco,16,349,76;100;97;96;88;97;99;86;87;88;87;83,task:5;informational:44;navigational:2;commercial:20;transactional:29
Coadores e Strainers para Bar,18,755,53;63;63;51;51;53;54;58;100;94;94;93,task:2;informational:49;navigational:5;commercial:34;transactional:10
Processadores Mondial,30,4873,69;77;79;43;99;100;100;42;41;41;42;41,informational:57;navigational:9;commercial:24;transactional:10
Espremedores Mondial,30,3300,86;99;100;99;93;96;96;50;56;57;57;56,task:2;informational:43;navigational:7;commercial:28;transactional:20
IntegralMedica shakes e copos,15,323,37;50;55;53;41;42;42;100;46;45;47;47,task:3;informational:48;navigational:18;commercial:14;transactional:17
Dosadores e dispensadores de bebidas,22,7403,36;48;51;56;88;88;90;100;100;100;99;99,task:5;informational:58;navigational:5;commercial:21;transactional:11
Coolers de lata,15,64,24;28;33;100;100;36;32;47;44;48;47;50,task:7;informational:49;navigational:1;commercial:32;transactional:11
Espremedores de Laranja e Frutas,36,20433,63;67;75;85;94;94;94;100;99;99;99;99,task:2;informational:36;navigational:4;commercial:35;transactional:23
Máquinas de Suco de Laranja,44,12899,43;48;56;58;75;76;76;100;97;97;97;97,task:3;informational:60;navigational:2;commercial:21;transactional:14
Misturadores Mondial,19,1606,84;99;100;51;57;59;61;58;53;53;53;53,task:2;informational:46;navigational:20;commercial:18;transactional:14
Destiladores de água e laboratório,25,10387,30;35;36;29;77;79;79;93;100;100;100;100,task:5;informational:59;navigational:4;commercial:25;transactional:7
Mini Processadores de Alimentos,27,9681,43;47;50;50;100;100;100;51;49;50;50;49,task:5;informational:34;navigational:4;commercial:41;transactional:16
Liquidificadores Osterizer,19,1121,27;45;28;23;34;46;55;84;72;91;85;100,task:2;informational:50;navigational:7;commercial:27;transactional:14
cafeteiras espresso com leite,18,1255,85;98;98;52;57;59;59;100;91;91;96;96,task:5;informational:60;navigational:4;commercial:23;transactional:8
Máquinas de sorvete domésticas,18,3968,86;100;57;53;56;59;60;62;62;62;61;61,task:2;informational:53;navigational:5;commercial:24;transactional:16
Pães de liquidificador rápidos,35,20977,75;80;82;82;80;81;81;99;100;100;100;100,task:5;informational:77;navigational:3;commercial:7;transactional:8
Nespresso com leite,26,4642,57;66;66;53;97;100;100;99;100;100;100;100,task:12;informational:58;navigational:3;commercial:10;transactional:17
Batedeiras KitchenAid,36,13764,93;97;100;46;46;47;47;56;57;57;57;57,task:3;informational:38;navigational:15;commercial:29;transactional:15
Pizza de Liquidificador e Massas,64,42239,52;54;57;59;59;59;59;83;100;100;100;100,task:2;informational:74;navigational:5;commercial:12;transactional:7
Espremedores de Laranja,15,546,4;15;20;16;18;15;22;58;60;100;83;71,informational:49;navigational:8;commercial:18;transactional:25
Maceradores para Caipirinha,16,701,25;56;55;71;97;100;94;55;55;41;41;40,task:8;informational:45;navigational:1;commercial:35;transactional:11
Liquidificadores Philips Walita 600W,16,697,72;98;100;94;78;83;82;82;81;82;83;81,task:3;informational:58;navigational:9;commercial:22;transactional:8
Misturadores Walita Philips,34,6003,92;97;100;48;47;48;48;45;45;45;45;44,task:2;informational:30;navigational:25;commercial:20;transactional:23
Misturadores de Massa,17,410,57;75;76;73;60;65;61;82;93;100;73;72,task:3;informational:57;navigational:5;commercial:25;transactional:10
Café Aeropress,25,14258,34;37;38;23;98;100;100;100;100;100;100;100,task:8;informational:41;navigational:18;commercial:26;transactional:7
Geladeiras com dispenser de água,18,1373,22;38;42;33;53;49;48;100;38;36;60;71,task:2;informational:60;navigational:4;commercial:28;transactional:6
Baristo Café,16,171,73;82;89;82;87;100;87;80;81;93;92;88,task:7;informational:28;navigational:37;commercial:17;transactional:11
Xarope Dilúido,19,1322,79;88;89;80;84;87;88;93;95;100;100;99,task:2;informational:64;navigational:16;commercial:10;transactional:8
Máquinas de Café Saeco,23,3646,87;98;100;51;51;52;51;47;50;50;51;49,task:2;informational:45;navigational:13;commercial:32;transactional:8
Mix de Bebidas,18,694,42;51;31;35;99;100;100;51;34;34;36;34,task:3;informational:67;navigational:8;commercial:14;transactional:8
Líquidos para pod e vape,29,4953,87;97;100;59;58;59;59;64;57;57;57;57,task:3;informational:56;navigational:4;commercial:29;transactional:8
