name,prompts_count,volume,volume_trend,intents
Repuestos y Piezas para Refrigeradores,17,1986,50;37;97;81;83;84;27;21;100;97;64;66,task:3;informational:33;navigational:4;commercial:45;transactional:15
Norcold DE0051 Refrigeratori,17,102,8;8;32;27;88;100;52;21;10;11;10;10,task:2;informational:49;navigational:6;commercial:39;transactional:4
Monitores e Babás Eletrônicas,16,185,31;46;28;98;34;33;32;100;95;30;31;33,task:5;informational:56;navigational:4;commercial:31;transactional:4
Secador de Esmalte em Gel,15,16,1;14;93;100;17;7;39;48;35;44;2;2,task:3;informational:40;navigational:5;commercial:35;transactional:17
Grade de grade de crio EM,17,565,9;32;9;9;15;17;22;96;100;39;34;54,task:2;informational:75;navigational:7;commercial:8;transactional:8
Neveras de playa,16,265,45;100;56;42;48;5;5;27;40;38;25;26,task:3;informational:42;navigational:11;commercial:28;transactional:16
congeladores industriales,16,28,21;21;20;98;100;77;67;12;14;14;14;13,task:7;informational:38;navigational:4;commercial:40;transactional:11
Prateleiras e Organização de Espaços,16,115,13;15;14;54;77;100;98;13;13;13;13;13,task:17;informational:50;navigational:4;commercial:25;transactional:4
Climatizadores de Ar,16,275,29;33;27;39;60;62;74;95;100;14;10;13,task:8;informational:65;navigational:5;commercial:12;transactional:10
Mini Fridge Appliances,15,17538,2;2;11;11;10;13;7;1;2;2;89;100,task:5;informational:50;navigational:5;commercial:25;transactional:15
Receitas e Culinária,18,1038,36;36;37;37;37;36;35;18;100;100;100;100,task:5;informational:72;navigational:5;commercial:10;transactional:8
Refrigeradores Mabe,19,6543,9;10;10;9;13;38;20;11;14;16;89;100,task:2;informational:49;navigational:9;commercial:33;transactional:7
Frigidaire Refrigerator Models and Reviews,27,2689,12;18;23;28;30;17;20;14;82;100;45;53,task:2;informational:64;navigational:4;commercial:25;transactional:5
Garrafa Térmica Stanley,15,978,5;4;52;39;40;39;35;100;65;55;67;73,task:3;informational:22;navigational:17;commercial:46;transactional:12
Refrigerator Model and Parts,18,564,10;10;10;14;19;40;13;29;100;100;12;15,task:3;informational:54;navigational:11;commercial:17;transactional:15
Frigidaire Refrigerators and Freezers,18,5479,60;13;14;14;19;28;18;11;76;92;94;100,task:1;informational:54;navigational:9;commercial:26;transactional:10
Bombas de tirar leite e ordenha,17,575,56;46;73;52;24;25;100;24;27;27;57;61,task:2;informational:41;navigational:3;commercial:45;transactional:9
licuadoras para hielo y frozen,16,203,6;5;6;6;9;21;19;100;12;13;10;10,task:2;informational:47;navigational:2;commercial:36;transactional:13
Lava Louças e Máquinas de Lavar Louça,26,4147,38;36;100;70;72;31;26;57;64;78;61;100,task:2;informational:37;navigational:9;commercial:41;transactional:11
Refrigeradores comerciales e industriales,19,3258,26;19;23;19;31;32;17;32;39;31;100;100,task:3;informational:37;navigational:3;commercial:45;transactional:12
Churrasqueiras Elétricas,15,1677,5;4;52;60;54;10;9;100;26;22;85;91,task:3;informational:51;navigational:4;commercial:26;transactional:16
frigidaire appliance models,15,91,61;32;34;60;100;48;29;26;57;100;24;25,task:3;informational:64;navigational:18;commercial:12;transactional:3
Plaina elétrica,16,259,5;17;30;25;25;8;7;100;4;5;12;58,task:7;informational:46;navigational:5;commercial:12;transactional:30
Refrigeradores para cerveza,16,2162,33;31;59;64;64;45;37;51;17;20;64;100,task:3;informational:52;navigational:5;commercial:18;transactional:22
Cozinhas Modulares e Completas,16,136,8;10;9;26;26;26;27;100;100;10;10;10,task:7;informational:31;navigational:5;commercial:48;transactional:9
Lojas e Componentes de Eletrônicos e Informática,23,1324,79;77;81;69;90;94;72;69;100;98;93;99,task:5;informational:25;navigational:18;commercial:40;transactional:12
Refrigerators and Kitchen Appliances,17,3842,94;51;90;83;95;76;62;45;62;29;90;100,task:5;informational:61;navigational:7;commercial:19;transactional:8
Secadores de cabelo para rolos e mesa,17,984,100;46;13;9;9;13;9;38;11;13;21;23,task:7;informational:64;navigational:5;commercial:17;transactional:7
Frigidaire Fruf2020an,16,115,20;25;25;24;25;24;25;100;74;77;62;28,task:3;informational:63;navigational:22;commercial:12
Chocadeiras de ovos,15,64,7;7;7;7;10;100;16;38;39;7;7;7,task:2;informational:51;navigational:4;commercial:33;transactional:10
Mini and Small Freezers,31,20439,68;68;66;64;66;66;69;68;67;67;93;100,task:2;informational:36;navigational:11;commercial:26;transactional:25
Fogões e Eletrodomésticos de Cozinha,16,826,16;14;7;15;14;26;33;25;91;100;86;18,task:7;informational:33;navigational:7;commercial:37;transactional:16
Neverías y Paleterías Mexicanas,15,565,18;19;32;34;100;88;68;15;15;14;14;13,task:10;informational:37;navigational:18;commercial:23;transactional:12
Prateleiras e Portas para Closet,15,3690,3;2;2;31;31;38;22;81;95;100;73;89,task:7;informational:32;navigational:1;commercial:46;transactional:14
Climatisation et appareils Frigidaire,16,66,16;12;93;100;58;9;40;6;9;13;13;12,task:7;informational:60;navigational:4;commercial:14;transactional:15
Ilhas na Cozinha,15,113,59;60;64;65;62;63;63;96;100;57;56;57,task:7;informational:50;navigational:6;commercial:23;transactional:14
Gás de Cozinha e Botijão,25,1429,21;22;23;53;40;30;29;100;100;46;46;46,task:2;informational:67;navigational:5;commercial:16;transactional:10
modelo coolers and accessories,15,1371,4;20;25;25;8;15;14;2;92;100;22;22,task:7;informational:26;navigational:18;commercial:36;transactional:13
Fogões e Fogareiros Elétricos,18,603,14;15;15;16;40;48;55;100;82;61;50;22,task:2;informational:42;navigational:8;commercial:44;transactional:4
