name,prompts_count,volume,volume_trend,intents
Ar Condicionado Automotivo: Campinas e Valinhos,15,146,72;72;77;76;75;100;96;88;89;90;81;86,informational:35;navigational:13;commercial:47;transactional:5
Circuladores de Ar Arno,15,2941,66;95;100;97;86;93;95;90;96;96;92;93,task:7;informational:48;navigational:14;commercial:26;transactional:5
Ar Condicionado Midea e Springer,22,4368,94;100;20;24;26;27;27;42;41;42;45;44,informational:64;navigational:11;commercial:17;transactional:8
DENSUL Refrigeração e Ar Condicionado,15,324,68;79;80;81;83;86;88;92;100;100;100;100,task:3;informational:29;navigational:38;commercial:26;transactional:4
Climatizadores Evaporativos Ecobrisa,17,1174,89;100;100;57;58;61;64;54;55;55;58;58,task:2;informational:27;navigational:29;commercial:28;transactional:14
Disjuntores e Fios para Ar Condicionado,83,33608,49;61;80;83;79;80;80;96;100;100;100;100,task:4;informational:79;navigational:5;commercial:9;transactional:3
Ar Condicionado 9000 BTU 110V,16,1303,13;33;65;56;33;34;33;21;20;55;68;100,task:5;informational:44;navigational:1;commercial:35;transactional:15
Pressostatos: ar condicionado e automotivo,32,22341,21;24;25;94;98;99;99;100;100;100;100;100,task:5;informational:78;navigational:5;commercial:7;transactional:5
Ventisol: climatizadores e umidificadores,37,18796,92;97;100;41;78;78;78;77;78;78;78;78,task:2;informational:33;navigational:31;commercial:20;transactional:14
Instalação e Manutenção de Ar Condicionado em Salvador,15,276,19;45;74;100;74;44;46;99;74;42;60;75,task:3;informational:18;navigational:27;commercial:40;transactional:12
Ar Condicionado e Refrigeração em Teresina,15,268,21;30;30;89;96;54;49;100;65;52;48;42,task:3;informational:28;navigational:17;commercial:47;transactional:5
Ar condicionado portátil Philco,44,11534,58;61;29;30;100;100;100;92;50;50;50;49,task:2;informational:45;navigational:17;commercial:18;transactional:18
Ar Condicionado no Telhado,20,800,92;100;80;77;75;71;71;87;89;89;89;89,task:10;informational:66;navigational:3;commercial:12;transactional:9
FG Refrigeração e Equipamentos,15,106,66;73;75;100;76;75;74;89;98;94;86;86,task:7;informational:21;navigational:37;commercial:27;transactional:8
Peças para Ar Condicionado Consul,15,446,57;66;68;52;51;50;54;72;43;99;87;100,task:2;informational:29;navigational:7;commercial:48;transactional:14
Ar-condicionado Samsung: Wind-Free e Inverter,153,88552,38;34;37;96;79;79;79;95;99;100;100;100,task:2;informational:52;navigational:3;commercial:21;transactional:22
Ar-condicionado e refrigeração em Paranaguá,15,620,9;86;100;94;94;11;12;54;52;31;57;84,task:3;informational:39;navigational:3;commercial:47;transactional:8
Ionizadores de Ar e Climatização,26,2489,58;65;79;100;94;96;88;77;78;75;75;76,task:3;informational:75;navigational:6;commercial:10;transactional:6
Ar Condicionado 23000 BTU,19,1398,23;56;60;35;28;33;38;100;72;68;63;80,task:2;informational:61;navigational:2;commercial:27;transactional:8
ar condicionado 80000 BTUs,16,366,30;60;62;63;58;59;50;59;63;82;76;100,task:3;informational:48;navigational:1;commercial:37;transactional:11
Ar condicionado 12000 BTU com inverter,264,143732,20;21;21;27;100;100;100;35;29;29;29;29,task:2;informational:43;navigational:4;commercial:41;transactional:10
Climatização e Refrigeração em Votuporanga,16,365,11;79;76;70;61;38;41;100;62;21;22;51,task:3;informational:24;navigational:27;commercial:35;transactional:11
ClimaCar Automotivo A/C,15,189,40;45;46;45;48;49;49;50;55;100;91;57,task:7;informational:22;navigational:27;commercial:36;transactional:8
coletor de água para ar condicionado,20,1282,21;42;42;31;94;97;94;98;100;100;100;100,task:2;informational:67;navigational:5;commercial:10;transactional:16
Ventiladores e motores de refrigeração,17,283,56;81;85;74;75;83;79;68;66;100;72;85,task:10;informational:63;navigational:3;commercial:21;transactional:3
Ar condicionado 7500 BTU,22,2762,55;64;67;52;100;100;100;74;75;59;72;73,task:2;informational:41;navigational:6;commercial:31;transactional:20
Ar Condicionado Trifásico 380V/220V,17,973,35;41;50;35;94;97;90;84;96;98;99;100,task:3;informational:63;navigational:4;commercial:25;transactional:5
Climatizadores AMVOX,25,3849,64;73;74;38;66;68;68;79;98;100;94;94,task:2;informational:57;navigational:7;commercial:20;transactional:14
Ar Condicionado para Corsa Clássico e Wind,29,2774,24;31;30;29;63;65;65;100;100;100;100;99,task:4;informational:56;navigational:4;commercial:28;transactional:8
Rolamentos e Polias de Ar Condicionado,24,5110,29;32;32;60;74;75;76;86;100;100;99;99,task:2;informational:73;navigational:5;commercial:15;transactional:5
Consumo de Ar Condicionado em Watts,94,30130,95;98;100;100;85;86;86;87;87;87;87;87,task:8;informational:82;navigational:3;commercial:6;transactional:1
Ar Condicionado e Refrigeração em Uberlândia,15,547,42;82;100;77;46;47;46;46;47;46;57;54,task:3;informational:35;navigational:10;commercial:44;transactional:8
Ventilação Industrial,18,1081,66;67;33;74;74;74;74;97;97;100;98;98,task:2;informational:76;navigational:9;commercial:10;transactional:3
Ar condicionado portátil EOS,16,371,39;54;57;53;45;98;100;95;79;100;82;89,task:3;informational:41;navigational:16;commercial:23;transactional:17
Dufrio ar condicionado Brasil,38,27312,82;94;98;96;50;51;51;100;99;99;99;99,task:1;informational:31;navigational:51;commercial:7;transactional:10
Fusíveis de Ar Condicionado,19,3065,93;92;69;62;54;54;54;93;97;98;98;100,task:2;informational:80;navigational:5;commercial:10;transactional:3
Refrigeração Real,15,95,86;90;100;99;95;96;97;90;96;96;96;96,task:3;informational:49;navigational:18;commercial:25;transactional:5
Ar condicionado 18000 BTU Inverter,159,58504,26;26;27;95;100;100;100;51;33;33;33;33,task:8;informational:40;navigational:4;commercial:39;transactional:9
Capacitores para Ar Condicionado,42,20040,13;16;18;48;74;75;76;97;100;100;100;100,task:8;informational:61;navigational:2;commercial:21;transactional:8
Ar Condicionado no Buscapé – Comparação de Preços,15,1285,30;95;95;85;81;53;56;85;42;45;51;100,task:3;informational:24;navigational:22;commercial:34;transactional:17
Casa do Vento: Ventiladores para Casa,15,741,18;24;24;22;35;33;50;60;63;100;90;95,task:4;informational:29;navigational:27;commercial:25;transactional:15
Refrigeração Polo Frio,15,230,34;44;46;42;42;44;100;96;100;56;57;55,task:3;informational:48;navigational:34;commercial:10;transactional:5
Ar Condicionado Automotivo em Curitiba,15,201,81;97;99;100;90;96;94;88;91;94;91;94,task:3;informational:32;navigational:10;commercial:47;transactional:8
Aquecedores e Desumidificadores de Ar,21,1230,37;44;44;54;74;75;78;100;100;98;99;100,task:5;informational:45;navigational:1;commercial:40;transactional:9
Polar Refrigeração e Caixas,17,765,52;65;68;69;97;100;93;75;74;74;75;75,task:3;informational:32;navigational:28;commercial:28;transactional:9
Ar Condicionado Recife: Instalação e Manutenção,15,71,22;22;26;26;26;34;100;27;27;27;27;27,task:3;informational:52;navigational:4;commercial:36;transactional:5
Refrigeração e Ar Condicionado em Chapecó,15,254,10;100;100;74;54;44;42;77;35;30;32;33,task:3;informational:39;navigational:10;commercial:43;transactional:5
Ar-condicionado no Uber,20,2453,46;71;79;100;93;81;80;75;73;83;85;84,task:5;informational:80;navigational:5;commercial:8;transactional:2
Ar comprimido: redes e sistemas industriais,24,11432,23;26;26;97;97;98;98;100;100;100;100;100,task:2;informational:80;navigational:5;commercial:10;transactional:3
