name,prompts_count,volume,volume_trend,intents
Roomba e Aspiradores iRobot,26,6919,96;51;54;52;50;51;51;97;100;100;100;99,task:2;informational:48;navigational:8;commercial:26;transactional:16
Aspiradores Erg27,17,893,11;14;19;10;38;24;24;68;49;100;88;89,task:10;informational:34;navigational:11;commercial:22;transactional:23
Aspiradores de Pó 2000W,19,1868,87;100;100;57;63;66;64;66;67;67;67;67,task:2;informational:47;navigational:4;commercial:37;transactional:10
Aspiradores Rainbow,30,27388,18;85;21;23;100;100;100;94;99;99;99;98,task:2;informational:42;navigational:13;commercial:36;transactional:7
Aspiradores Robôs Electrolux,59,10966,53;58;60;37;54;55;55;100;74;74;74;73,task:2;informational:41;navigational:25;commercial:15;transactional:17
Aspiradores de pó Mercado Livre,16,721,76;100;97;87;83;87;86;82;82;81;77;77,informational:23;navigational:45;commercial:11;transactional:21
Aspiradores de Pó 1400W,17,849,22;28;30;27;51;51;45;51;47;32;32;100,task:3;informational:51;navigational:1;commercial:29;transactional:16
Aspiradores Philips Walita,18,636,51;100;99;62;61;36;39;74;43;44;51;43,task:2;informational:45;navigational:10;commercial:25;transactional:18
Aspiradores robô Oster,15,97,58;98;100;100;94;64;57;75;93;92;77;75,task:5;informational:67;navigational:5;commercial:18;transactional:5
Aspiradores de Pó Elgin e Britânia,17,966,17;22;23;50;47;31;38;35;32;61;57;100,task:3;informational:47;navigational:11;commercial:25;transactional:14
Aspiradores de pó WAP/GTW inox 1600W,21,1118,65;88;88;86;93;99;100;98;99;100;93;96,task:7;informational:48;navigational:1;commercial:33;transactional:11
Aspiradores Bissell,19,793,83;88;95;87;49;50;62;44;84;97;94;100,task:5;informational:38;navigational:21;commercial:24;transactional:12
Sopradores de Folhas e Aspiradores,52,18550,60;64;69;79;100;100;100;92;95;95;95;95,task:3;informational:30;navigational:4;commercial:39;transactional:24
Mop e Acessórios de Limpeza,100,51253,62;63;68;76;90;90;90;93;100;100;100;100,task:5;informational:34;navigational:4;commercial:31;transactional:26
Aspiradores WAP Magic,16,819,19;56;64;52;57;56;57;100;69;78;72;79,task:7;informational:49;navigational:11;commercial:24;transactional:9
Aspiradores de Pó 1800W,22,1081,87;100;100;96;96;98;100;100;56;56;56;56,task:2;informational:62;navigational:4;commercial:30;transactional:2
Aspiradores de Pó Nano Electrolux,17,1692,43;55;57;55;54;55;48;83;65;93;85;100,task:2;informational:41;navigational:9;commercial:36;transactional:12
Aspiradores de Pó Carrefour,15,1258,13;39;49;33;32;37;20;51;47;41;38;100,task:7;informational:29;navigational:27;commercial:11;transactional:26
Máquinas extratoras para estofados,116,39318,19;22;28;50;100;100;100;77;64;64;64;64,task:2;informational:37;navigational:4;commercial:41;transactional:16
Mangueiras para Aspirador de Pó,16,1072,75;98;100;93;87;94;94;88;95;95;94;94,task:13;informational:14;navigational:1;commercial:47;transactional:25
Aspiradores robô Polishop,17,1745,68;97;100;97;91;98;97;87;93;93;96;95,task:3;informational:46;navigational:23;commercial:12;transactional:16
Robôs Aspiradores Idali Life,20,1579,30;40;40;58;79;78;76;100;94;92;91;92,task:2;informational:52;navigational:15;commercial:19;transactional:12
Aspiradores de Pó 3000W,17,1021,37;49;51;29;87;86;100;80;89;96;95;95,task:2;informational:40;navigational:3;commercial:44;transactional:11
Aspiradores Robô Philco,24,2243,59;71;72;48;92;95;95;100;95;95;94;95,informational:66;navigational:10;commercial:16;transactional:8
Aspiradores Lavor no Brasil,18,288,29;58;67;66;50;46;52;63;61;100;93;45,task:7;informational:45;navigational:18;commercial:16;transactional:14
Hyla Aspiradores: Preços e Avaliações,17,967,47;67;89;83;87;88;84;100;71;70;76;77,task:8;informational:42;navigational:6;commercial:31;transactional:13
Aspiradores Philco PH Rapid 1000,20,1387,28;31;33;30;29;56;46;59;99;100;92;97,task:2;informational:57;navigational:4;commercial:27;transactional:10
Aspiradores Robô Samsung,33,8913,61;72;76;48;56;57;58;89;86;88;87;100,task:2;informational:54;navigational:12;commercial:18;transactional:14
Aspiradores Britania,26,3917,86;97;100;51;46;47;47;52;44;44;47;46,task:5;informational:43;navigational:11;commercial:24;transactional:17
