name,prompts_count,volume,volume_trend,intents
Assadeiras Tramontina,24,2885,84;99;100;54;54;58;59;53;58;58;58;57,task:2;informational:34;navigational:21;commercial:14;transactional:29
Frangueiras e Acessórios de Grelhar,22,2499,61;73;51;59;98;100;100;72;69;68;69;68,task:4;informational:47;navigational:9;commercial:29;transactional:11
Micro-ondas 28 litros,20,1109,45;98;100;88;84;71;72;97;91;97;75;75,informational:54;navigational:1;commercial:27;transactional:18
Nearby Fried Chicken Restaurants,17,3413,74;79;80;87;99;99;100;72;68;69;69;69,informational:32;navigational:32;commercial:20;transactional:16
Churrasqueiras Refracon,16,678,53;71;71;67;68;72;68;95;93;100;73;72,task:3;informational:24;navigational:45;commercial:21;transactional:7
Frest Variants,17,292,19;20;23;23;41;45;33;100;89;37;39;64,task:7;informational:25;navigational:40;commercial:17;transactional:11
PC CPU Fans & Cooling,17,3292,89;97;100;99;86;87;87;74;74;74;74;74,task:2;informational:67;navigational:2;commercial:19;transactional:10
Micro-ondas Consul,22,3300,84;99;100;51;47;50;52;54;61;62;75;76,task:2;informational:39;navigational:23;commercial:20;transactional:16
Micro-ondas Philco,44,19282,95;100;49;57;94;94;95;96;100;100;100;100,task:3;informational:54;navigational:16;commercial:13;transactional:14
Forno elétrico Britânia,32,3646,88;98;100;100;47;50;50;51;51;51;53;53,task:5;informational:44;navigational:15;commercial:22;transactional:14
Hair Trimmers & Clippers,30,6716,69;80;81;44;79;82;83;100;94;94;93;93,task:5;informational:42;navigational:4;commercial:35;transactional:14
Dyson HD01 Supersonic Hair Dryer,16,3155,25;28;36;35;73;75;73;100;100;93;91;91,task:2;informational:60;navigational:9;commercial:23;transactional:6
Dehumidifier Guides,16,778,24;30;31;58;95;97;100;69;63;55;55;55,task:5;informational:65;navigational:4;commercial:23;transactional:3
Paper Shredders,16,428,90;100;100;65;69;72;71;69;55;53;49;48,task:3;informational:39;navigational:3;commercial:46;transactional:9
Long Chips & Crisps,15,228,49;80;83;82;81;82;100;80;80;91;90;92,task:3;informational:63;navigational:8;commercial:19;transactional:7
Electronics Stores & Retailers,24,5223,39;71;76;70;100;99;98;76;68;65;65;64,task:5;informational:39;navigational:14;commercial:32;transactional:10
Chapinhas e pranchas com controle de temperatura,21,1243,18;30;41;87;88;81;80;92;79;100;92;65,task:1;informational:62;navigational:3;commercial:30;transactional:4
Fogões e Fornos Havan,20,3967,66;78;78;61;65;67;68;72;69;69;95;100,task:2;informational:18;navigational:47;commercial:7;transactional:26
Omeleteiras Elétricas,18,5392,91;100;50;48;45;46;46;48;54;54;53;53,task:5;informational:40;navigational:4;commercial:30;transactional:21
Frigideiras e Panelas Inox,24,5899,39;48;49;48;99;100;100;71;68;68;68;68,task:5;informational:39;navigational:4;commercial:40;transactional:12
Temporizadores de Cozinha,17,568,54;68;67;91;89;82;79;100;100;82;82;88,task:3;informational:62;navigational:1;commercial:22;transactional:12
Frozen Food Essentials,16,676,24;11;27;22;22;16;12;41;87;95;91;100,task:2;informational:55;navigational:5;commercial:18;transactional:20
Marmitas Elétricas e Térmicas,46,27048,22;23;27;31;46;46;46;100;50;50;50;50,task:7;informational:45;navigational:5;commercial:26;transactional:17
Stock Pot Cookware Brands,17,583,47;52;54;74;100;100;100;84;82;77;75;77,task:2;informational:53;navigational:4;commercial:33;transactional:8
Panelas Roichen,18,1054,24;53;58;49;42;38;47;100;77;69;63;64,task:3;informational:52;navigational:14;commercial:28;transactional:3
AirPods iPlace,15,167,8;36;52;70;70;100;53;44;38;27;25;34,task:5;informational:25;navigational:46;commercial:11;transactional:13
Ozone Generators,16,452,26;31;32;71;92;90;100;66;66;66;66;66,task:5;informational:52;navigational:2;commercial:32;transactional:9
fornos elétricos retrô,15,795,6;16;19;17;9;17;25;89;92;100;94;93,task:3;informational:56;navigational:4;commercial:21;transactional:16
Micro-ondas 220V,17,1483,66;96;100;80;81;87;87;89;91;93;90;89,task:3;informational:42;commercial:47;transactional:8
